Open,High,Low,Close,Volume,Unadj.Close,day
443.2386624,448.7838212,439.5730599,447.0725833,2886421.038,2390.5,1/3/2011
446.3245012,446.605032,436.3189027,438.6660104,4429460.168,2345.55,1/4/2011
439.4421456,439.4421456,429.6796738,431.6807935,4184460.331,2308.2,1/5/2011
433.1395536,438.1236508,431.8304099,435.3370449,2906098.022,2327.75,1/6/2011
435.047163,435.047163,422.8534243,424.4337478,4249800.75,2269.45,1/7/2011
421.9276727,424.5366091,399.8498988,402.5149414,10731869.77,2152.25,1/10/2011
405.8345558,414.9424558,397.4186319,401.4582754,6500569.658,2146.6,1/11/2011
405.6475353,414.0634593,393.9774541,412.4363807,5296316.859,2205.3,1/12/2011
413.1283566,414.6993291,397.6804606,400.7850015,5072170.347,2143,1/13/2011
402.0941452,412.9413361,379.6516813,383.3079327,6839569.869,2049.55,1/14/2011
385.2622973,391.4339748,383.4949532,386.7771636,6566551.718,2068.1,1/17/2011
390.2744475,395.7354471,382.7655731,394.4917605,4502179.456,2109.35,1/18/2011
394.9219078,395.370757,385.8233589,388.1517645,4808028.227,2075.45,1/19/2011
386.9922372,399.1766249,382.6253077,396.0253289,5153658.726,2117.55,1/20/2011
393.4912007,397.3625257,388.2733278,391.6490484,4436732.097,2094.15,1/21/2011
391.8080159,402.8422273,387.6935642,401.8323165,6830266.078,2148.6,1/24/2011
402.3185698,406.7416054,387.1512046,389.8068962,7544840.024,2084.3,1/25/2011
392.7431186,392.7431186,381.7089071,383.5604104,10130117.66,2050.9,1/27/2011
384.3271946,390.7513499,381.9052787,384.1869292,9516816.014,2054.25,1/28/2011
382.026842,385.9075181,373.3303873,382.8871365,5944801.805,2047.3,1/31/2011
388.4229443,388.4229443,376.8650753,381.4470784,4572332.181,2039.6,2/1/2011
383.6726227,385.9168691,375.2005926,377.7627739,5219747.726,2019.9,2/2/2011
377.781476,387.4597885,375.9112706,385.4399668,3099124.956,2060.95,2/3/2011
383.5791125,389.9378106,374.976168,377.3606798,4947692.036,2017.75,2/4/2011
382.4569893,385.2622973,377.8188801,381.306813,4576716.727,2038.85,2/7/2011
385.2435952,385.2529462,371.2544594,374.5740738,3847598.923,2002.85,2/8/2011
373.6670242,380.5867839,370.5624834,378.2116232,3934006.548,2022.3,2/9/2011
377.0333938,383.2050714,374.0410653,377.0053407,6167985.855,2015.85,2/10/2011
373.1059626,385.2622973,373.1059626,385.1313829,5402294.527,2059.3,2/11/2011
383.420145,394.650728,383.420145,393.7623805,3166604.178,2105.45,2/14/2011
394.6133239,397.9796935,388.1237114,394.0522623,4063511.045,2107,2/15/2011
395.361406,396.8575703,389.9471616,391.7799628,2433208.769,2094.85,2/16/2011
392.7431186,410.3230486,391.8080159,408.7520762,6312034.21,2185.6,2/17/2011
408.4528433,419.5057568,404.9462083,406.9753811,10569855.47,2176.1,2/18/2011
404.8994532,412.9413361,398.8212859,411.7631067,2994537.509,2201.7,2/21/2011
409.5749665,409.8929014,397.4934401,399.934058,3099338.836,2138.45,2/22/2011
